2025-11-24 14:48:34.596 [tick=4225781] [pid=6120] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:34.597 [tick=4225781] [pid=6120] [INFO] [WorkerHost] pid=6120 | start
2025-11-24 14:48:34.849 [tick=4226031] [pid=6120] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=6120 | fire start
2025-11-24 14:48:34.855 [tick=4226046] [pid=6120] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=6120 | fire sent
2025-11-24 14:48:35.215 [tick=4226406] [pid=15260] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:35.215 [tick=4226406] [pid=15260] [INFO] [WorkerHost] pid=15260 | start
2025-11-24 14:48:35.489 [tick=4226671] [pid=15260] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=15260 | fire start
2025-11-24 14:48:35.496 [tick=4226687] [pid=15260] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=15260 | fire sent
2025-11-24 14:48:35.848 [tick=4227031] [pid=10544] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:35.849 [tick=4227031] [pid=10544] [INFO] [WorkerHost] pid=10544 | start
2025-11-24 14:48:36.111 [tick=4227296] [pid=10544] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=10544 | fire start
2025-11-24 14:48:36.121 [tick=4227312] [pid=10544] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=10544 | fire sent
2025-11-24 14:48:36.468 [tick=4227656] [pid=19936] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:36.469 [tick=4227656] [pid=19936] [INFO] [WorkerHost] pid=19936 | start
2025-11-24 14:48:36.735 [tick=4227921] [pid=19936] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=19936 | fire start
2025-11-24 14:48:36.747 [tick=4227937] [pid=19936] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=19936 | fire sent
2025-11-24 14:48:37.096 [tick=4228281] [pid=19044] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:37.097 [tick=4228281] [pid=19044] [INFO] [WorkerHost] pid=19044 | start
2025-11-24 14:48:37.358 [tick=4228546] [pid=19044] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=19044 | fire start
2025-11-24 14:48:37.371 [tick=4228562] [pid=19044] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=19044 | fire sent
2025-11-24 14:48:37.708 [tick=4228890] [pid=2632] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:37.708 [tick=4228890] [pid=2632] [INFO] [WorkerHost] pid=2632 | start
2025-11-24 14:48:37.968 [tick=4229156] [pid=2632] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=2632 | fire start
2025-11-24 14:48:37.979 [tick=4229171] [pid=2632] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=2632 | fire sent
2025-11-24 14:48:38.342 [tick=4229531] [pid=7836] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:38.342 [tick=4229531] [pid=7836] [INFO] [WorkerHost] pid=7836 | start
2025-11-24 14:48:38.608 [tick=4229796] [pid=7836] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=7836 | fire start
2025-11-24 14:48:38.621 [tick=4229812] [pid=7836] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=7836 | fire sent
2025-11-24 14:48:38.960 [tick=4230140] [pid=11168] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:38.960 [tick=4230140] [pid=11168] [INFO] [WorkerHost] pid=11168 | start
2025-11-24 14:48:39.216 [tick=4230406] [pid=11168] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=11168 | fire start
2025-11-24 14:48:39.232 [tick=4230421] [pid=11168] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=11168 | fire sent
2025-11-24 14:48:39.610 [tick=4230796] [pid=9952] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:39.610 [tick=4230796] [pid=9952] [INFO] [WorkerHost] pid=9952 | start
2025-11-24 14:48:39.885 [tick=4231062] [pid=9952] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=9952 | fire start
2025-11-24 14:48:39.917 [tick=4231109] [pid=9952] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=9952 | fire sent
2025-11-24 14:48:40.245 [tick=4231421] [pid=5056] [INFO] [Core] file=D:\project\AI\AHK\game-macro\modules\workers\Logs\app.log keep=5 rotateMB=10 | Logger initialized
2025-11-24 14:48:40.246 [tick=4231437] [pid=5056] [INFO] [WorkerHost] pid=5056 | start
2025-11-24 14:48:40.524 [tick=4231703] [pid=5056] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=5056 | fire start
2025-11-24 14:48:40.554 [tick=4231734] [pid=5056] [INFO] [WorkerHost] delay=250 hold=0 key=a mode=FIRE pid=5056 | fire sent
